Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.5476,45.24,0.5442,0.728,1.0,gcc_trace.txt,Smith
0.559,44.10000000000001,0.5374999999999999,0.7229999999999999,10.0,gcc_trace.txt,Smith
0.5538999999999998,44.61,0.543,0.7249999999999999,11.0,gcc_trace.txt,Smith
0.5483,45.17,0.5178,0.7260000000000001,12.0,gcc_trace.txt,Smith
0.5431999999999999,45.68,0.5077999999999999,0.7300000000000001,13.0,gcc_trace.txt,Smith
0.5382999999999999,46.17,0.5262,0.7290000000000001,14.0,gcc_trace.txt,Smith
0.5342,46.58,0.5784,0.73,15.0,gcc_trace.txt,Smith
0.526,47.39999999999999,0.5959000000000001,0.732,16.0,gcc_trace.txt,Smith
0.5698999999999999,43.01,0.5614,0.7219999999999999,2.0,gcc_trace.txt,Smith
0.5843,41.57,0.5617,0.723,3.0,gcc_trace.txt,Smith
0.5831999999999999,41.68,0.5508,0.7219999999999999,4.0,gcc_trace.txt,Smith
0.5867000000000001,41.33,0.5580999999999999,0.72,5.0,gcc_trace.txt,Smith
0.5806000000000001,41.94,0.5484,0.7219999999999999,6.0,gcc_trace.txt,Smith
0.5732999999999999,42.67,0.5401,0.7190000000000001,7.0,gcc_trace.txt,Smith
0.5664,43.36,0.5351999999999999,0.7229999999999999,8.0,gcc_trace.txt,Smith
0.5629,43.709999999999994,0.5344999999999999,0.725,9.0,gcc_trace.txt,Smith
0.5867000000000001,41.33,0.5606,0.806,6.0,gcc_trace.txt,Bimodal
0.8467,15.330000000000002,0.8446,0.765,3072.0,gcc_trace.txt,Bimodal
0.8654,13.460000000000003,0.8636000000000001,0.7619999999999999,6144.0,gcc_trace.txt,Bimodal
0.877,12.3,0.8756999999999999,0.759,12288.0,gcc_trace.txt,Bimodal
0.8849,11.510000000000002,0.8839,0.758,24576.0,gcc_trace.txt,Bimodal
0.8892000000000001,11.08,0.8884000000000001,0.756,49152.0,gcc_trace.txt,Bimodal
0.8904,10.960000000000003,0.8897,0.755,98304.0,gcc_trace.txt,Bimodal
0.892,10.8,0.8912999999999999,0.757,196608.0,gcc_trace.txt,Bimodal
0.6117999999999999,38.82,0.5933,0.796,12.0,gcc_trace.txt,Bimodal
0.6289,37.11,0.6048,0.795,24.0,gcc_trace.txt,Bimodal
0.6495,35.05,0.6349,0.789,48.0,gcc_trace.txt,Bimodal
0.6655,33.45,0.6506999999999998,0.783,96.0,gcc_trace.txt,Bimodal
0.6972000000000002,30.290000000000003,0.6874,0.7830000000000001,192.0,gcc_trace.txt,Bimodal
0.7428,25.72,0.7341,0.7770000000000001,384.0,gcc_trace.txt,Bimodal
0.7834000000000001,21.66,0.7794999999999999,0.7729999999999999,768.0,gcc_trace.txt,Bimodal
0.82,18.0,0.8173,0.7739999999999999,1536.0,gcc_trace.txt,Bimodal
0.83187,16.813,0.8338800000000001,6.298,-1.0,gcc_trace.txt,Tage
0.8486499999999999,15.135,0.8507199999999999,6.307999999999999,-1.0,gcc_trace.txt,Tage
0.86029,13.971,0.8625399999999999,6.322,-1.0,gcc_trace.txt,Tage
0.8667199999999999,13.328,0.8693,6.363,-1.0,gcc_trace.txt,Tage
0.8714500000000001,12.855,0.87399,6.339,-1.0,gcc_trace.txt,Tage
0.87273,12.727,0.8753299999999999,6.367,-1.0,gcc_trace.txt,Tage
0.87403,12.597,0.8766,6.304,-1.0,gcc_trace.txt,Tage
0.6121,38.790000000000006,0.5957999999999999,3.183,-1.0,gcc_trace.txt,Tage
0.62898,37.102,0.61062,4.485,-1.0,gcc_trace.txt,Tage
0.6492799999999999,35.072,0.6399100000000001,4.484,-1.0,gcc_trace.txt,Tage
0.66421,33.57899999999999,0.6570400000000001,5.3420000000000005,-1.0,gcc_trace.txt,Tage
0.6919799999999999,30.802,0.68822,5.428,-1.0,gcc_trace.txt,Tage
0.7353500000000001,26.465000000000003,0.7320399999999999,5.5889999999999995,-1.0,gcc_trace.txt,Tage
0.77394,22.605999999999998,0.77469,5.657,-1.0,gcc_trace.txt,Tage
0.8057400000000001,19.426000000000002,0.80773,6.286,-1.0,gcc_trace.txt,Tage
0.8682000000000001,13.180000000000001,0.8675,1.7810000000000001,12288.0,gcc_trace.txt,YehPatt
0.8713999999999998,12.86,0.8708,1.775,20480.0,gcc_trace.txt,YehPatt
